@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
71,'2025/10/01 22:28:44:534',2,45,0,105,68,0.968932,0.285361,0.225971
72,'2025/10/01 22:28:44:600',2,45,0,105,68,0.968932,0.285361,0.225971
73,'2025/10/01 22:28:44:663',2,45,0,105,68,0.968932,0.285361,0.225971
74,'2025/10/01 22:28:44:728',2,45,0,105,68,0.968932,0.285361,0.225971
75,'2025/10/01 22:28:44:780',2,45,0,105,67,0.968932,0.285361,0.225971
76,'2025/10/01 22:28:44:846',2,45,0,105,68,0.968932,0.285361,0.225971
77,'2025/10/01 22:28:44:897',2,45,0,105,68,0.968932,0.285361,0.225971
78,'2025/10/01 22:28:44:963',2,45,0,105,67,0.968932,0.285361,0.225971
79,'2025/10/01 22:28:45:036',2,45,0,105,67,0.968932,0.285361,0.225971
80,'2025/10/01 22:28:45:076',2,45,0,105,68,0.968932,0.285361,0.225971
81,'2025/10/01 22:28:45:137',2,45,0,105,67,0.968932,0.285361,0.225971
82,'2025/10/01 22:28:45:201',2,45,0,105,67,0.968932,0.285361,0.225971
83,'2025/10/01 22:28:45:261',2,44,0,105,67,0.968932,0.285361,0.225971
84,'2025/10/01 22:28:45:315',2,45,0,105,67,0.968932,0.285361,0.225971
85,'2025/10/01 22:28:45:386',2,45,0,105,67,0.968932,0.285361,0.225971
86,'2025/10/01 22:28:45:452',2,45,0,105,67,0.968932,0.285361,0.225971
87,'2025/10/01 22:28:45:495',2,44,0,105,67,0.968932,0.285361,0.225971
88,'2025/10/01 22:28:45:563',2,44,0,105,67,0.968932,0.285361,0.225971
89,'2025/10/01 22:28:45:621',2,44,0,105,67,0.968932,0.285361,0.225971
90,'2025/10/01 22:28:45:676',2,44,0,105,67,0.968932,0.285361,0.225971
91,'2025/10/01 22:28:45:753',2,44,0,105,67,0.968932,0.285361,0.225971
92,'2025/10/01 22:28:45:795',2,44,0,105,67,0.968932,0.285361,0.225971
93,'2025/10/01 22:28:45:866',2,44,0,105,67,0.968932,0.285361,0.225971
94,'2025/10/01 22:28:45:931',2,44,0,105,67,0.968932,0.285361,0.225971
95,'2025/10/01 22:28:45:976',2,44,0,105,67,0.968932,0.285361,0.225971
96,'2025/10/01 22:28:46:044',2,44,0,105,67,0.968932,0.285361,0.225971
97,'2025/10/01 22:28:46:122',2,45,0,105,67,0.968932,0.285361,0.225971
98,'2025/10/01 22:28:46:186',2,44,0,105,67,0.968932,0.285361,0.225971
99,'2025/10/01 22:28:46:254',2,44,0,105,67,0.968932,0.285361,0.225971
100,'2025/10/01 22:28:46:338',2,44,0,105,67,0.968932,0.285361,0.225971
101,'2025/10/01 22:28:46:406',2,44,0,105,67,0.968932,0.285361,0.225971
